datahora,Q
1930-05-22 07:00:00,125.20
1930-05-23 07:00:00,114.00
1930-05-24 07:00:00,103.72
1930-05-25 07:00:00,98.58
1930-05-26 07:00:00,96.01
1930-05-27 07:00:00,93.44
1930-05-28 07:00:00,88.30
1930-05-29 07:00:00,88.30
1930-05-30 07:00:00,93.44
1930-05-31 07:00:00,98.58
1930-06-01 07:00:00,101.15
1930-06-02 07:00:00,98.58
1930-06-03 07:00:00,103.72
1930-06-04 07:00:00,98.58
1930-06-05 07:00:00,93.44
1930-06-06 07:00:00,90.87
1930-06-07 07:00:00,88.30
1930-06-08 07:00:00,86.05
1930-06-09 07:00:00,86.05
1930-06-10 07:00:00,83.80
1930-06-11 07:00:00,81.55
1930-06-12 07:00:00,79.30
1930-06-13 07:00:00,79.30
1930-06-14 07:00:00,77.05
1930-06-15 07:00:00,88.30
1930-06-16 07:00:00,93.44
1930-06-17 07:00:00,93.44
1930-06-18 07:00:00,90.87
1930-06-19 07:00:00,90.87
1930-06-20 07:00:00,88.30
1930-06-21 07:00:00,88.30
1930-06-22 07:00:00,86.05
1930-06-23 07:00:00,83.80
1930-06-24 07:00:00,81.55
1930-06-25 07:00:00,79.30
1930-06-26 07:00:00,77.05
1930-06-27 07:00:00,74.80
1930-06-28 07:00:00,74.80
1930-06-29 07:00:00,72.55
1930-06-30 07:00:00,70.30
1930-07-01 07:00:00,68.05
1930-07-02 07:00:00,68.05
1930-07-03 07:00:00,68.05
1930-07-04 07:00:00,70.30
1930-07-05 07:00:00,74.80
1930-07-06 07:00:00,74.80
1930-07-07 07:00:00,77.05
1930-07-08 07:00:00,81.55
1930-07-09 07:00:00,88.30
1930-07-10 07:00:00,108.86
1930-07-11 07:00:00,130.80
1930-07-12 07:00:00,139.20
1930-07-13 07:00:00,142.00
1930-07-14 07:00:00,136.40
1930-07-15 07:00:00,130.80
1930-07-16 07:00:00,128.00
1930-07-17 07:00:00,125.20
1930-07-18 07:00:00,122.40
1930-07-19 07:00:00,111.43
1930-07-20 07:00:00,103.72
1930-07-21 07:00:00,96.01
1930-07-22 07:00:00,93.44
1930-07-23 07:00:00,88.30
1930-07-24 07:00:00,86.05
1930-07-25 07:00:00,83.80
1930-07-26 07:00:00,83.80
1930-07-27 07:00:00,83.80
1930-07-28 07:00:00,79.30
1930-07-29 07:00:00,79.30
1930-07-30 07:00:00,79.30
1930-07-31 07:00:00,77.05
1930-08-01 07:00:00,74.80
1930-08-02 07:00:00,72.55
1930-08-03 07:00:00,72.55
1930-08-04 07:00:00,72.55
1930-08-05 07:00:00,70.30
1930-08-06 07:00:00,68.05
1930-08-07 07:00:00,68.05
1930-08-08 07:00:00,65.80
1930-08-09 07:00:00,70.30
1930-08-10 07:00:00,72.55
1930-08-11 07:00:00,79.30
1930-08-12 07:00:00,88.30
1930-08-13 07:00:00,88.30
1930-08-14 07:00:00,86.05
1930-08-15 07:00:00,93.44
1930-08-16 07:00:00,156.50
1930-08-17 07:00:00,296.00
1930-08-18 07:00:00,264.00
1930-08-19 07:00:00,276.80
1930-08-20 07:00:00,314.60
1930-08-21 07:00:00,296.00
1930-08-22 07:00:00,283.20
1930-08-23 07:00:00,264.00
1930-08-24 07:00:00,245.40
1930-08-25 07:00:00,202.00
1930-08-26 07:00:00,183.40
1930-08-27 07:00:00,165.20
1930-08-28 07:00:00,147.80
1930-08-29 07:00:00,186.50
1930-08-30 07:00:00,394.00
1930-08-31 07:00:00,596.00
1930-09-01 07:00:00,651.00
1930-09-02 07:00:00,688.00
1930-09-03 07:00:00,699.40
1930-09-04 07:00:00,684.20
